CODE,DESTINATION,CONNEC COSTO,COST /MIN,GRACE TIME,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND
34,Spain,0,0.9653,0,1,1,0,1,
346,Spain Cellular,0,0.7425,0,1,1,0,1,
346340,Spain Cellular,0,0.7425,0,1,1,0,1,
346341,Spain Cellular,0,0.7425,0,1,1,0,1,
346344,Spain Cellular,0,0.7425,0,1,1,0,1,
346725,Spain Cellular,0,0.7425,0,1,1,0,1,
346728,Spain Cellular,0,0.7425,0,1,1,0,1,
346729,Spain Cellular,0,0.7425,0,1,1,0,1,
347,Spain Cellular,0,0.7425,0,1,1,0,1,
346020,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
346021,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
346023,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
346028,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
346122,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
346124,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
346125,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
34631,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
34632,Spain Cellular-Lycamobile,0,0.7088,0,1,1,0,1,
34590100,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590101,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590102,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590590,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590600,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590622,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590656,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590743,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
34590909,Spain Cellular-M2m,0,0.7088,0,1,1,0,1,
346016,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346029,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
34605,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346110,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346120,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346121,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
34615,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346210,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346213,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
34625,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
34635,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346400,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346401,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346402,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346403,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346405,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346406,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346407,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
346408,Spain Cellular-Orange,0,0.7425,0,1,1,0,1,
