CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND
93,Afghanistan,0,0,0.3029,1,1,0,1,
9375,Afghanistan Cellular-AT,0,0,0.2929,1,1,0,1,
9370,Afghanistan Cellular-AWCC,0,0,0.2646,1,1,0,1,
9371,Afghanistan Cellular-AWCC,0,0,0.2646,1,1,0,1,
9373,Afghanistan Cellular-Etisalat,0,0,0.3017,1,1,0,1,
9378,Afghanistan Cellular-Etisalat,0,0,0.3017,1,1,0,1,
9376,Afghanistan Cellular-MTN,0,0,0.2548,1,1,0,1,
9377,Afghanistan Cellular-MTN,0,0,0.2548,1,1,0,1,
9372,Afghanistan Cellular-Roshan,0,0,0.2817,1,1,0,1,
9379,Afghanistan Cellular-Roshan,0,0,0.2817,1,1,0,1,
9374,Afghanistan Cellular-Salaam,0,0,0.2713,1,1,0,1,
355,Albania,0,0,0.2881,1,1,0,1,
35568,Albania Cellular-AMC,0,0,0.7794,1,1,0,1,
35567,Albania Cellular-Eagle,0,0,0.6888,1,1,0,1,
35566,Albania Cellular-Plus,0,0,0.4566,1,1,0,1,
35569,Albania Cellular-Vodafone,0,0,0.6598,1,1,0,1,
35521160,Albania-AMC,0,0,0.2179,1,1,0,1,
35521161,Albania-AMC,0,0,0.2179,1,1,0,1,
35521250,Albania-AMC,0,0,0.2179,1,1,0,1,
35521340,Albania-AMC,0,0,0.2179,1,1,0,1,
35521440,Albania-AMC,0,0,0.2179,1,1,0,1,
3552155,Albania-AMC,0,0,0.2179,1,1,0,1,
35521650,Albania-AMC,0,0,0.2179,1,1,0,1,
35521651,Albania-AMC,0,0,0.2179,1,1,0,1,
35521740,Albania-AMC,0,0,0.2179,1,1,0,1,
35521741,Albania-AMC,0,0,0.2179,1,1,0,1,
3552185,Albania-AMC,0,0,0.2179,1,1,0,1,
35521940,Albania-AMC,0,0,0.2179,1,1,0,1,
3552253,Albania-AMC,0,0,0.2179,1,1,0,1,
3552254,Albania-AMC,0,0,0.2179,1,1,0,1,
3552440,Albania-AMC,0,0,0.2179,1,1,0,1,
35526160,Albania-AMC,0,0,0.2179,1,1,0,1,
35526250,Albania-AMC,0,0,0.2179,1,1,0,1,
35526293,Albania-AMC,0,0,0.2179,1,1,0,1,
35526323,Albania-AMC,0,0,0.2179,1,1,0,1,
35526350,Albania-AMC,0,0,0.2179,1,1,0,1,
35526363,Albania-AMC,0,0,0.2179,1,1,0,1,
35526373,Albania-AMC,0,0,0.2179,1,1,0,1,
35526383,Albania-AMC,0,0,0.2179,1,1,0,1,
35526450,Albania-AMC,0,0,0.2179,1,1,0,1,
35526490,Albania-AMC,0,0,0.2179,1,1,0,1,
35526523,Albania-AMC,0,0,0.2179,1,1,0,1,
35526563,Albania-AMC,0,0,0.2179,1,1,0,1,
35526650,Albania-AMC,0,0,0.2179,1,1,0,1,
35526673,Albania-AMC,0,0,0.2179,1,1,0,1,
35526723,Albania-AMC,0,0,0.2179,1,1,0,1,
35526770,Albania-AMC,0,0,0.2179,1,1,0,1,
35526840,Albania-AMC,0,0,0.2179,1,1,0,1,
35526890,Albania-AMC,0,0,0.2179,1,1,0,1,
35526950,Albania-AMC,0,0,0.2179,1,1,0,1,
35526970,Albania-AMC,0,0,0.2179,1,1,0,1,
35526990,Albania-AMC,0,0,0.2179,1,1,0,1,
35527023,Albania-AMC,0,0,0.2179,1,1,0,1,
35527043,Albania-AMC,0,0,0.2179,1,1,0,1,
35527053,Albania-AMC,0,0,0.2179,1,1,0,1,
35527070,Albania-AMC,0,0,0.2179,1,1,0,1,
35527140,Albania-AMC,0,0,0.2179,1,1,0,1,
35527190,Albania-AMC,0,0,0.2179,1,1,0,1,
35527223,Albania-AMC,0,0,0.2179,1,1,0,1,
35527253,Albania-AMC,0,0,0.2179,1,1,0,1,
35527270,Albania-AMC,0,0,0.2179,1,1,0,1,
35527280,Albania-AMC,0,0,0.2179,1,1,0,1,
35527323,Albania-AMC,0,0,0.2179,1,1,0,1,
35527350,Albania-AMC,0,0,0.2179,1,1,0,1,
35527370,Albania-AMC,0,0,0.2179,1,1,0,1,
35527390,Albania-AMC,0,0,0.2179,1,1,0,1,
35527440,Albania-AMC,0,0,0.2179,1,1,0,1,
35527470,Albania-AMC,0,0,0.2179,1,1,0,1,
35527490,Albania-AMC,0,0,0.2179,1,1,0,1,
35527523,Albania-AMC,0,0,0.2179,1,1,0,1,
35527550,Albania-AMC,0,0,0.2179,1,1,0,1,
35527570,Albania-AMC,0,0,0.2179,1,1,0,1,
35527590,Albania-AMC,0,0,0.2179,1,1,0,1,
35527623,Albania-AMC,0,0,0.2179,1,1,0,1,
35527660,Albania-AMC,0,0,0.2179,1,1,0,1,
35527693,Albania-AMC,0,0,0.2179,1,1,0,1,
35527723,Albania-AMC,0,0,0.2179,1,1,0,1,
35527760,Albania-AMC,0,0,0.2179,1,1,0,1,
35527790,Albania-AMC,0,0,0.2179,1,1,0,1,
35527840,Albania-AMC,0,0,0.2179,1,1,0,1,
35527860,Albania-AMC,0,0,0.2179,1,1,0,1,
35527880,Albania-AMC,0,0,0.2179,1,1,0,1,
35527923,Albania-AMC,0,0,0.2179,1,1,0,1,
35527950,Albania-AMC,0,0,0.2179,1,1,0,1,
35527970,Albania-AMC,0,0,0.2179,1,1,0,1,
35527990,Albania-AMC,0,0,0.2179,1,1,0,1,
35528123,Albania-AMC,0,0,0.2179,1,1,0,1,
35528124,Albania-AMC,0,0,0.2179,1,1,0,1,
35528143,Albania-AMC,0,0,0.2179,1,1,0,1,
35528144,Albania-AMC,0,0,0.2179,1,1,0,1,
35528190,Albania-AMC,0,0,0.2179,1,1,0,1,
35528223,Albania-AMC,0,0,0.2179,1,1,0,1,
35528250,Albania-AMC,0,0,0.2179,1,1,0,1,
35528270,Albania-AMC,0,0,0.2179,1,1,0,1,
35528290,Albania-AMC,0,0,0.2179,1,1,0,1,
35528323,Albania-AMC,0,0,0.2179,1,1,0,1,
35528350,Albania-AMC,0,0,0.2179,1,1,0,1,
35528390,Albania-AMC,0,0,0.2179,1,1,0,1,
35528450,Albania-AMC,0,0,0.2179,1,1,0,1,
35528523,Albania-AMC,0,0,0.2179,1,1,0,1,
35528570,Albania-AMC,0,0,0.2179,1,1,0,1,
35528623,Albania-AMC,0,0,0.2179,1,1,0,1,
35528643,Albania-AMC,0,0,0.2179,1,1,0,1,
35528680,Albania-AMC,0,0,0.2179,1,1,0,1,
35528763,Albania-AMC,0,0,0.2179,1,1,0,1,
35528790,Albania-AMC,0,0,0.2179,1,1,0,1,
35528823,Albania-AMC,0,0,0.2179,1,1,0,1,
35528850,Albania-AMC,0,0,0.2179,1,1,0,1,
35528870,Albania-AMC,0,0,0.2179,1,1,0,1,
35528890,Albania-AMC,0,0,0.2179,1,1,0,1,
35528923,Albania-AMC,0,0,0.2179,1,1,0,1,
35528950,Albania-AMC,0,0,0.2179,1,1,0,1,
35528970,Albania-AMC,0,0,0.2179,1,1,0,1,
35528990,Albania-AMC,0,0,0.2179,1,1,0,1,
