CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND
7840,Abkhazia Fixed,0,0,0.2173,1,1,0,1,11101
7940,Abkhazia Mobile,0,0,0.2184,1,1,0,1,11101
79407,Abkhazia Mobile - A-Mobile,0,0,0.2187,1,1,0,1,11101
79409,Abkhazia Mobile - Aquafon,0,0,0.2296,1,1,0,1,11101
93,Afghanistan Fixed,0,0,0.1476,1,1,0,1,11101
9375,Afghanistan Mobile - AT,0,0,0.1573,1,1,0,1,11101
9370,Afghanistan Mobile - AWCC,0,0,0.1401,1,1,0,1,11101
9378,Afghanistan Mobile - Etisalat,0,0,0.1557,1,1,0,1,11101
9376,Afghanistan Mobile - MTN,0,0,0.1389,60,60,0,1,11101
9377,Afghanistan Mobile - MTN,0,0,0.1389,60,60,0,1,11101
9372,Afghanistan Mobile - Roshan,0,0,0.1546,1,1,0,1,11101
9379,Afghanistan Mobile - Roshan,0,0,0.1546,1,1,0,1,11101
355,Albania Fixed,0,0,0.1481,1,1,0,1,11101
3554249,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
3554250,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542510,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542511,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542512,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542513,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542514,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542515,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542516,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542518,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35542519,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
3554252,Albania Fixed - AlbTel,0,0,0.1507,1,1,0,1,11101
35521160,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521161,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521250,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521340,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521440,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
3552155,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521650,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521651,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521740,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521741,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
3552185,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35521940,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
3552253,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
3552254,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
3552440,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526160,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526250,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526293,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526323,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526350,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526363,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526373,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526383,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526450,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526490,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526523,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526563,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526650,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526673,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526723,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526770,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526840,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526890,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526950,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526970,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35526990,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35527023,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35527043,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35527053,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35527070,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35527140,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
35527190,Albania Fixed - AMC,0,0,0.1417,1,1,0,1,11101
