CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,

523339583,MEXICO MPP  TELCEL GUADALAJARA GUADALAJARA  JAL,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523339870,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523339880,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523339890,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340190,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340200,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340210,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340220,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340230,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340240,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523340248,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140300,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140310,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140320,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140330,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140340,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140350,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140360,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140370,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140380,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
528140390,MEXICO MPP  AT&T CIUDAD MONTERREY MONTERREY  NL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
